Start Pose:
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.3204, y=0.1281000000000001, z=0.07919999999999994), orientation=geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.0, w=1.0))
Goal Pose:
geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=0.3204, y=0.1281000000000001, z=0.07919999999999994), orientation=geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.0, w=1.0))
Planned Path:
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[-0.00019194476136255895, 0.0005310294350558278, 0.000946533130604786, -0.0019399142693877498, -0.0018143534860186532, 0.0024999999999999983]
[-0.0007677790454502359, 0.0021241177402233115, 0.003786132522419145, -0.007759657077551, -0.0072574139440746135, 0.009999999999999993]
[-0.0017275028522630263, 0.004779264915502438, 0.008518798175443053, -0.017459228424489704, -0.016329181374167837, 0.022499999999999926]
[-0.00307111618180093, 0.008496470960893208, 0.015144530089676513, -0.03103862831020386, -0.029029655776298322, 0.0399999999999998]
[-0.004798619034063959, 0.013275735876395653, 0.02366332826511958, -0.04849785673469359, -0.04535883715046619, 0.06249999999999976]
[-0.006910011409052114, 0.019117059662009776, 0.034075192701772256, -0.0698369136979589, -0.06531672549667143, 0.08999999999999982]
[-0.009405293276388997, 0.026020442233697014, 0.04638012324984006, -0.09505579889299684, -0.08890332052778184, 0.12249999960436014]
[-0.01228446466451029, 0.0339858836701268, 0.06057812004954727, -0.12415451260719629, -0.11611862251258509, 0.1599999991834436]
[-0.015547525558633667, 0.04301338393040272, 0.0766691830279981, -0.15713305469115774, -0.1469626313113515, 0.20249999854471645]
[-0.019194475953297117, 0.05310294299941373, 0.09465331215825787, -0.1939914250896787, -0.18143534687245164, 0.2499999976170385]
[-0.0232253156507288, 0.06425456033000934, 0.11453050646505851, -0.2347296218039528, -0.2195367673264516, 0.30249999382451437]
[-0.02764004465670847, 0.07646823593817965, 0.13630076597690155, -0.27934764489239383, -0.2612668927279844, 0.3599999872424229]
[-0.03243866285642471, 0.08974396950629039, 0.1599640901276199, -0.3278454931946455, -0.3066257219917978, 0.42249997637539355]
[-0.03762117049901793, 0.10408176172360697, 0.18552048014579442, -0.38022316922867727, -0.35561325747288575, 0.4899999644683757]
[-0.04318756757517957, 0.11948161256437662, 0.212969935985522, -0.4364806729004111, -0.40822949908325945, 0.5624999514001295]
[-0.04913785393108752, 0.13594352160303896, 0.2423124568882629, -0.49661800265522393, -0.46447444536891863, 0.6399999351671861]
[-0.0554720297405991, 0.15346748932058324, 0.273548043711356, -0.5606351602502271, -0.524348097973246, 0.7224999180339642]
[-0.06219009486912461, 0.17205351534465707, 0.30667669579110207, -0.6285321443251727, -0.5878504556240353, 0.8099998982474896]
[-0.06929204946707795, 0.19170160009139162, 0.3416984138692339, -0.7003089564002378, -0.6549815197430703, 0.9024998777668402]
[-0.07677789058287282, 0.21241173539500427, 0.3786131833906565, -0.7759655666448383, -0.7257412624305491, 0.9999998181488424]
[-0.08433242586261368, 0.2333119182040186, 0.41586670298575934, -0.852316443239385, -0.7971503351384972, 1.0983944712004998]
[-0.09151064929832992, 0.25317100635372225, 0.45126452396590755, -0.9248640760736916, -0.8650023287097738, 1.1918878203385557]
[-0.09830498321132093, 0.27196803563331395, 0.4847692786848457, -0.9935318803692214, -0.9292256153090118, 1.2803811694766105]
[-0.10471542760158643, 0.289703006042793, 0.5163809671425723, -1.0583198561259717, -0.9898201949362091, 1.36387451861466]
[-0.11074198246912645, 0.3063759175821593, 0.5460995893390875, -1.1192280033439428, -1.0467860675913654, 1.4423678677527048]
[-0.11638464781394126, 0.32198677025141376, 0.5739251452743928, -1.1762563220231375, -1.1001232332744837, 1.5158612168907482]
[-0.12164342363603084, 0.3365355640505562, 0.5998576349484879, -1.2294048121635557, -1.1498316919855633, 1.5843545660287905]
[-0.12651830993539528, 0.350022298979587, 0.6238970583613733, -1.2786734737651981, -1.195911443724606, 1.6478479151668326]
[-0.1310093067120346, 0.362446975038506, 0.6460434155130491, -1.3240623068280648, -1.2383624884916107, 1.706341264304874]
[-0.13511641396594876, 0.37380959222731336, 0.6662967064035153, -1.365571311352156, -1.2771848262865781, 1.759834613442916]
[-0.13883963169713784, 0.38411015054600905, 0.6846569310327719, -1.4032004873374717, -1.3123784571095085, 1.8083279625809574]
[-0.14217895990560178, 0.3933486499945931, 0.7011240894008189, -1.436949834784012, -1.3439433809604013, 1.8518213117189994]
[-0.14513439859134075, 0.40152509057306585, 0.7156981815076571, -1.4668193536917777, -1.3718795978392584, 1.8903146608570425]
[-0.14770594775435467, 0.40863947228142716, 0.7283792073532858, -1.4928090440607689, -1.3961871077460783, 1.9238080099950867]
[-0.14989360739464347, 0.4146917951196768, 0.7391671669377051, -1.5149189058909847, -1.4168659106808614, 1.952301359133131]
[-0.15169737751220713, 0.41968205908781486, 0.7480620602609149, -1.533148939182425, -1.433916006643607, 1.9757947082711755]
[-0.15311725810704563, 0.423610264185841, 0.7550638873229149, -1.5474991439350891, -1.4473373956343147, 1.994288057409219]
[-0.15415324917915904, 0.42647641041375567, 0.7601726481237053, -1.557969520148978, -1.4571300776529856, 2.007781406547263]
[-0.1548053507285474, 0.42828049777155863, 0.7633883426632864, -1.5645600678240918, -1.4632940526996192, 2.0162747556853073]
[-0.15507356275521056, 0.42902252625924997, 0.7647109709416576, -1.5672707869604299, -1.4658293207742155, 2.0197681048233513]
[-0.15508113875743526, 0.42904348583195623, 0.7647483303207431, -1.567347354795448, -1.4659009327627317, 2.019866779074356]

